percent, count
2.92   , 60
2.97   , 56
3.25   , 55
3.54   , 54
3.14   , 54
3.39   , 54
3.37   , 53
3.16   , 52
3.41   , 52
3.52   , 51
3.51   , 50
2.83   , 50
3.13   , 49
3.3    , 48
3.01   , 48
3.48   , 48
2.98   , 47
2.9    , 47
3.35   , 47
3.09   , 47
3.22   , 47
3.21   , 46
3.12   , 46
3.23   , 45
3.03   , 45
3.49   , 45
3.44   , 45
3.27   , 45
2.95   , 45
2.99   , 44
3.2    , 44
2.85   , 43
3.06   , 43
3.1    , 43
2.87   , 43
3.32   , 43
3.4    , 43
2.93   , 42
3.17   , 42
3.05   , 42
3.42   , 42
3.11   , 42
3.18   , 41
3.46   , 41
2.94   , 41
3.5    , 41
2.84   , 40
3.08   , 40
3.07   , 40
2.86   , 39
3.24   , 39
3.53   , 39
3.36   , 39
2.88   , 38
2.91   , 38
3.34   , 38
3.26   , 38
3.55   , 37
3.56   , 37
3.19   , 37
3.0    , 37
3.38   , 37
3.31   , 36
3.33   , 35
3.02   , 35
3.04   , 34
3.28   , 34
3.45   , 34
3.47   , 33
3.15   , 33
3.43   , 32
2.89   , 31
2.96   , 30
3.29   , 30
54.44  , 24
2.82   , 23
54.26  , 22
54.24  , 20
54.43  , 20
54.34  , 20
54.7   , 20
54.3   , 20
55.28  , 19
55.17  , 19
54.64  , 19
54.84  , 19
54.95  , 19
54.28  , 19
54.27  , 19
55.05  , 19
54.25  , 18
54.54  , 18
55.21  , 18
54.97  , 18
55.01  , 18
54.61  , 17
54.36  , 17
54.68  , 17
54.9   , 17
55.08  , 17
55.15  , 17
54.56  , 17
54.37  , 17
54.38  , 17
54.48  , 17
54.79  , 17
55.24  , 16
55.0   , 16
54.46  , 16
54.73  , 16
54.86  , 16
55.31  , 16
54.72  , 16
54.69  , 16
54.63  , 16
54.6   , 16
54.85  , 16
55.02  , 16
55.19  , 15
54.89  , 15
55.18  , 15
54.42  , 15
55.1   , 15
54.87  , 15
54.82  , 15
54.93  , 15
54.71  , 15
55.22  , 15
55.14  , 14
16.31  , 14
54.96  , 14
16.39  , 14
55.2   , 14
16.49  , 14
55.27  , 14
54.98  , 14
55.3   , 14
54.4   , 14
55.34  , 14
55.32  , 14
54.33  , 14
54.8   , 13
54.88  , 13
55.11  , 13
55.29  , 13
54.92  , 13
54.65  , 13
55.04  , 13
54.45  , 13
54.91  , 13
16.43  , 13
54.76  , 13
54.32  , 13
54.49  , 13
54.39  , 12
55.12  , 12
54.78  , 12
55.25  , 12
16.22  , 12
55.06  , 12
55.23  , 12
54.74  , 12
54.51  , 12
54.67  , 12
54.57  , 12
54.31  , 12
54.52  , 12
54.81  , 12
15.68  , 12
16.1   , 12
54.5   , 12
15.87  , 12
15.72  , 11
16.03  , 11
55.07  , 11
16.41  , 11
16.35  , 11
54.41  , 11
55.09  , 11
54.29  , 11
