p,ostatnia_cyfra_2^p_minus_1,najmniejszy_dzielnik_wlasciwy,pierwsze_przekroczenie_potegi_dwojki
23,7,178481,False
29,1,233,False
47,7,4513,False
49,1,127,False
53,1,6361,False
71,7,48544121,False
73,1,2298041,False
91,7,127,False
113,1,65993,False
119,7,127,False
133,1,127,False
151,7,18121,False
161,1,127,False
163,7,704161,False
169,1,8191,False
173,1,730753,False
179,7,1433,False
181,1,43441,False
203,7,127,False
211,7,15193,False
217,1,127,False
221,1,8191,False
223,7,1466449,False
229,1,1504073,False
233,1,622577,False
239,7,1913,False
241,1,22000409,False
247,7,8191,False
251,7,54217,False
259,7,127,False
269,1,13822297,False
277,1,1121297,False
281,1,80929,False
287,7,127,False
289,1,131071,False
299,7,8191,False
301,1,127,False
313,1,10960009,False
323,7,131071,False
329,1,127,False
337,1,2806537,False
343,7,127,False
353,1,931921,False
359,7,855857,False
361,1,524287,False
371,7,127,False
377,1,233,False
391,7,131071,False
397,1,6353,False
403,7,8191,False
413,1,127,False
427,7,127,False
431,7,3449,False
437,1,178481,False
463,7,11113,False
469,1,127,False
481,1,8191,False
493,1,233,False
497,1,127,False
509,1,12619129,False
511,7,127,False
527,7,131071,False
529,1,178481,False
533,1,8191,False
551,7,233,False
553,1,127,False
559,7,8191,False
569,1,15854617,False
571,7,27409,False
581,1,127,False
587,7,554129,False
589,1,524287,False
593,1,104369,False
611,7,4513,False
617,1,59233,False
623,7,127,False
629,1,131071,False
637,1,127,False
641,1,35897,False
643,7,3189281,False
667,7,233,False
679,7,127,False
689,1,6361,False
697,1,131071,False
701,1,796337,False
703,7,524287,False
707,7,127,False
713,1,178481,False
721,1,127,False
731,7,131071,False
749,1,127,False
761,1,6089,False
763,7,127,False
767,7,8191,False
773,1,6864241,False
779,7,524287,False
791,7,127,False
793,1,8191,False
799,7,4513,False
817,1,524287,False
827,7,66161,False
829,1,72953,False
833,1,127,False
839,7,26849,False
841,1,233,False
851,7,178481,False
857,1,6857,False
859,7,7215601,False
871,7,8191,False
877,1,35081,False
883,7,63577,False
889,1,127,False
893,1,4513,False
899,7,233,False
901,1,6361,False
917,1,127,False
923,7,8191,False
931,7,127,False
941,1,7529,False
943,7,178481,False
949,1,8191,False
953,1,343081,False
959,7,127,False
961,1,2147483647,False
967,7,23209,False
973,1,127,False
977,1,867577,False
989,1,178481,False
1003,7,131071,False
1007,7,6361,False
1009,1,3454817,False
1021,1,40841,False
1027,7,8191,False
1037,1,131071,False
1043,7,127,False
1049,1,33569,False
1057,1,127,False
1073,1,233,False
1079,7,8191,False
1081,1,4513,False
1087,7,10722169,False
1091,7,87281,False
1093,1,43721,False
1099,7,127,False
1117,1,53617,False
1121,1,524287,False
1127,7,127,False
1139,7,131071,False
1141,1,127,False
1147,7,2147483647,False
1153,1,267497,False
1157,1,8191,False
1159,7,524287,False
1169,1,127,False
1181,1,4742897,False
1183,7,127,False
1187,7,256393,False
1189,1,233,False
1201,1,57649,False
1207,7,131071,False
1211,7,127,False
1219,7,6361,False
1231,7,531793,False
1241,1,131071,False
1247,7,233,False
1253,1,127,False
1261,1,8191,False
1267,7,127,False
1271,7,2147483647,False
1273,1,524287,False
1303,7,10444849,False
1313,1,8191,False
1321,1,1394977,False
1333,1,2147483647,False
1337,1,127,False
1339,7,8191,False
1343,7,131071,False
1349,1,524287,False
1351,7,127,False
1357,1,178481,False
1361,1,3397057,False
1363,7,233,False
1367,7,10937,False
1379,7,127,False
1387,7,524287,False
1391,7,8191,False
1393,1,127,False
1399,7,28875361,False
1403,7,178481,False
1411,7,131071,False
1417,1,8191,False
1421,1,127,False
1439,7,46049,False
1447,7,57881,False
1451,7,174121,False
1457,1,4513,False
1459,7,93377,False
1469,1,8191,False
1477,1,127,False
1481,1,71089,False
1489,1,71473,False
1501,1,524287,False
1513,1,131071,False
1519,7,127,False
1523,7,2522089,False
1537,1,233,False
1541,1,178481,False
1547,7,127,False
1561,1,127,False
1577,1,524287,False
1583,7,189961,False
1589,1,127,False
1603,7,127,False
1609,1,2394193,False
1631,7,127,False
1633,1,178481,False
1643,7,6361,False
1649,1,131071,False
1651,7,8191,False
1663,7,6013409,False
1667,7,13337,False
1673,1,127,False
1679,7,178481,False
1687,7,127,False
1691,7,524287,False
1697,1,1235417,False
1703,7,8191,False
1711,7,233,False
1717,1,131071,False
1729,1,127,False
1739,7,4513,False
1741,1,1002817,False
1751,7,131071,False
1757,1,127,False
1769,1,233,False
1781,1,8191,False
1799,7,127,False
1801,1,28817,False
1807,7,8191,False
1813,1,127,False
1817,1,178481,False
1819,7,131071,False
1829,1,2147483647,False
1841,1,127,False
1843,7,524287,False
1853,1,131071,False
1871,7,14969,False
1877,1,15017,False
1883,7,127,False
1891,7,2147483647,False
1897,1,127,False
1909,1,178481,False
1919,7,524287,False
1921,1,65993,False
1927,7,4513,False
1937,1,8191,False
1939,7,127,False
1943,7,233,False
1957,1,524287,False
1961,1,6361,False
1963,7,8191,False
1967,7,127,False
1979,7,32392273,False
