offset,total,dominant_digit,dominant_share,strong_dominance,allowed_digits_min15pct,allowed_mask,dominant_bit,allowed_mask_hex,dominant_bit_hex,allowed_digits_from_mask
1,120,3,0.45,False,"3,7",6,2,0x6,0x2,"3,7"
2,56,1,0.6607142857142857,True,"1,9",9,1,0x9,0x1,"1,9"
3,120,1,0.7833333333333333,True,"1,3",3,1,0x3,0x1,"1,3"
4,51,3,0.4705882352941176,False,"3,7,9",14,2,0xE,0x2,"3,7,9"
5,49,1,0.5102040816326531,False,"1,9",9,1,0x9,0x1,"1,9"
6,96,1,0.6458333333333334,True,"1,7",5,1,0x5,0x1,"1,7"
7,120,7,1.0,True,7,4,4,0x4,0x4,7
8,120,3,1.0,True,3,2,2,0x2,0x2,3
9,120,7,0.9916666666666668,True,7,4,4,0x4,0x4,7
10,64,1,0.359375,False,"1,3,7",7,1,0x7,0x1,"1,3,7"
