offset,total,dominant_digit,dominant_share,strong_dominance,allowed_digits_min15pct,p1,p3,p7,p9,entropy_bits
1,120,3,0.45,False,"3,7",0.0,0.45,0.44166666666666665,0.10833333333333334,1.3864787160709264
2,56,1,0.6607142857142857,True,"1,9",0.6607142857142857,0.017857142857142856,0.14285714285714285,0.17857142857142858,1.343621788537162
3,120,1,0.7833333333333333,True,"1,3",0.7833333333333333,0.19166666666666668,0.008333333333333333,0.016666666666666666,0.8887799535501084
4,51,3,0.47058823529411764,False,"3,7,9",0.0,0.47058823529411764,0.27450980392156865,0.2549019607843137,1.5263903368352523
5,49,1,0.5102040816326531,False,"1,9",0.5102040816326531,0.02040816326530612,0.02040816326530612,0.4489795918367347,1.2432016736174807
6,96,1,0.6458333333333334,True,"1,7",0.6458333333333334,0.052083333333333336,0.25,0.052083333333333336,1.3514359151985766
7,120,7,1.0,True,7,0.0,0.0,1.0,0.0,-0.0
8,120,3,1.0,True,3,0.0,1.0,0.0,0.0,-0.0
9,120,7,0.9916666666666667,True,7,0.008333333333333333,0.0,0.9916666666666667,0.0,0.06952964699480783
10,64,1,0.359375,False,"1,3,7",0.359375,0.296875,0.3125,0.03125,1.7313889118361458
